train_number,delay_min,cancelled,snapshot_ts
12704,10,False,2026-09-06T18:30:40Z
67286,38,False,2026-09-06T18:30:40Z
20809,156,False,2026-09-06T18:30:40Z
12703,31,False,2026-09-06T18:30:40Z
17016,7,False,2026-09-06T18:30:40Z
14259,5,False,2026-09-06T18:30:40Z
55132,378,False,2026-09-06T18:30:40Z
15103,247,False,2026-09-06T18:30:40Z
20503,13,False,2026-09-06T18:30:40Z
54307,12,False,2026-09-06T18:30:40Z
12705,86,False,2026-09-06T18:30:40Z
47220,9,False,2026-09-06T18:30:40Z
17612,49,False,2026-09-06T18:30:40Z
20162,9,False,2026-09-06T18:30:40Z
12106,19,False,2026-09-06T18:30:40Z
12138,7,False,2026-09-06T18:30:40Z
12336,43,False,2026-09-06T18:30:40Z
11701,70,False,2026-09-06T18:30:40Z
09045,291,False,2026-09-06T18:30:40Z
11273,53,False,2026-09-06T18:30:40Z
22184,9,False,2026-09-06T18:30:40Z
19046,28,False,2026-09-06T18:30:40Z
15017,42,False,2026-09-06T18:30:40Z
09047,196,False,2026-09-06T18:30:40Z
51708,60,False,2026-09-06T18:30:40Z
16368,11,False,2026-09-06T18:30:40Z
22311,122,False,2026-09-06T18:30:40Z
11753,16,False,2026-09-06T18:30:40Z
19013,179,False,2026-09-06T18:30:40Z
12217,5,False,2026-09-06T18:30:40Z
09031,155,False,2026-09-06T18:30:40Z
12493,19,False,2026-09-06T18:30:40Z
09119,76,False,2026-09-06T18:30:40Z
22632,117,False,2026-09-06T18:30:40Z
12478,6,False,2026-09-06T18:30:40Z
22852,16,False,2026-09-06T18:30:40Z
17479,40,False,2026-09-06T18:30:40Z
18045,73,False,2026-09-06T18:30:40Z
22855,41,False,2026-09-06T18:30:40Z
42040,13,False,2026-09-06T18:30:40Z
42042,17,False,2026-09-06T18:30:40Z
12845,58,False,2026-09-06T18:30:40Z
15206,24,False,2026-09-06T18:30:40Z
61608,173,False,2026-09-06T18:30:40Z
22564,61,False,2026-09-06T18:30:40Z
15659,52,False,2026-09-06T18:30:40Z
20838,29,False,2026-09-06T18:30:40Z
22880,15,False,2026-09-06T18:30:40Z
12844,10,False,2026-09-06T18:30:40Z
20837,28,False,2026-09-06T18:30:40Z
04150,438,False,2026-09-06T18:30:40Z
12779,12,False,2026-09-06T18:30:40Z
12197,83,False,2026-09-06T18:30:40Z
09526,153,False,2026-09-06T18:30:40Z
43253,10,False,2026-09-06T18:30:40Z
14609,31,False,2026-09-06T18:30:40Z
38321,7,False,2026-09-06T18:30:40Z
38453,56,False,2026-09-06T18:30:40Z
14242,16,False,2026-09-06T18:30:40Z
54353,56,False,2026-09-06T18:30:40Z
14208,10,False,2026-09-06T18:30:40Z
12859,74,False,2026-09-06T18:30:40Z
18574,89,False,2026-09-06T18:30:40Z
12860,67,False,2026-09-06T18:30:40Z
18109,424,False,2026-09-06T18:30:40Z
22512,208,False,2026-09-06T18:30:40Z
00951,106,False,2026-09-06T18:30:40Z
18623,40,False,2026-09-06T18:30:40Z
63255,272,False,2026-09-06T18:30:40Z
15137,,True,2026-09-06T18:30:40Z
11428,35,False,2026-09-06T18:30:40Z
13329,,True,2026-09-06T18:30:40Z
63231,131,False,2026-09-06T18:30:40Z
11431,19,False,2026-09-06T18:30:40Z
07091,28,False,2026-09-06T18:30:40Z
63230,,True,2026-09-06T18:30:40Z
13238,18,False,2026-09-06T18:30:40Z
22877,200,False,2026-09-06T18:30:40Z
16526,12,False,2026-09-06T18:30:40Z
16525,45,False,2026-09-06T18:30:40Z
06556,70,False,2026-09-06T18:30:40Z
11021,17,False,2026-09-06T18:30:40Z
63270,32,False,2026-09-06T18:30:40Z
55520,206,False,2026-09-06T18:30:40Z
13420,22,False,2026-09-06T18:30:40Z
55565,96,False,2026-09-06T18:30:40Z
75210,46,False,2026-09-06T18:30:40Z
15655,22,False,2026-09-06T18:30:40Z
13021,22,False,2026-09-06T18:30:40Z
15528,239,False,2026-09-06T18:30:40Z
55578,86,False,2026-09-06T18:30:40Z
15203,27,False,2026-09-06T18:30:40Z
75245,29,False,2026-09-06T18:30:40Z
13105,47,False,2026-09-06T18:30:40Z
15049,42,False,2026-09-06T18:30:40Z
20506,9,False,2026-09-06T18:30:40Z
55062,199,False,2026-09-06T18:30:40Z
55034,123,False,2026-09-06T18:30:40Z
15010,6,False,2026-09-06T18:30:40Z
15066,453,False,2026-09-06T18:30:40Z
20990,10,False,2026-09-06T18:30:40Z
22208,7,False,2026-09-06T18:30:40Z
16350,30,False,2026-09-06T18:30:40Z
16604,20,False,2026-09-06T18:30:40Z
15608,640,False,2026-09-06T18:30:40Z
16320,11,False,2026-09-06T18:30:40Z
63571,82,False,2026-09-06T18:30:40Z
13121,25,False,2026-09-06T18:30:40Z
13415,,True,2026-09-06T18:30:40Z
15027,22,False,2026-09-06T18:30:40Z
13031,11,False,2026-09-06T18:30:40Z
63206,64,False,2026-09-06T18:30:40Z
20832,38,False,2026-09-06T18:30:40Z
11116,8,False,2026-09-06T18:30:40Z
13185,33,False,2026-09-06T18:30:40Z
55121,130,False,2026-09-06T18:30:40Z
19306,21,False,2026-09-06T18:30:40Z
15136,23,False,2026-09-06T18:30:40Z
11059,199,False,2026-09-06T18:30:40Z
20930,8,False,2026-09-06T18:30:40Z
63202,139,False,2026-09-06T18:30:40Z
12506,40,False,2026-09-06T18:30:40Z
63218,80,False,2026-09-06T18:30:40Z
13032,10,False,2026-09-06T18:30:40Z
14164,19,False,2026-09-06T18:30:40Z
02418,7,False,2026-09-06T18:30:40Z
15733,17,False,2026-09-06T18:30:40Z
14117,36,False,2026-09-06T18:30:40Z
18043,146,False,2026-09-06T18:30:40Z
68419,57,False,2026-09-06T18:30:40Z
58532,46,False,2026-09-06T18:30:40Z
13434,40,False,2026-09-06T18:30:40Z
18248,22,False,2026-09-06T18:30:40Z
18247,27,False,2026-09-06T18:30:40Z
68804,132,False,2026-09-06T18:30:40Z
12804,12,False,2026-09-06T18:30:40Z
12389,11,False,2026-09-06T18:30:40Z
12252,514,False,2026-09-06T18:30:40Z
20605,6,False,2026-09-06T18:30:40Z
67301,25,False,2026-09-06T18:30:40Z
17482,59,False,2026-09-06T18:30:40Z
53261,42,False,2026-09-06T18:30:40Z
