number,name,type,type_canonical,zone,from_station_code,from_station_name,to_station_code,to_station_name,distance,duration_h,duration_m,arrival,departure,return_train,sleeper,third_ac,second_ac,first_ac,first_class,chair_car
18495,Rameswaram-Bhubaneswar Express,Exp,Express,ECoR,RMM,RAMESWARAM,BBS,BHUBANESWAR,1892,34,45,18:45:00,08:00:00,18496,1,1,1,0,0,0
18496,Bhubaneswar-Rameswaram Weekly Express,Exp,Express,ECoR,BBS,BHUBANESWAR,RMM,RAMESWARAM,1892,35,55,23:55:00,12:00:00,18495,1,1,1,0,0,0
18602,Jammu Tawi-Rourkela Express,Exp,Express,SER,MURI,MURI,HTE,HATIA,67,1,45,10:05:00,08:20:00,,1,1,1,0,0,0
18604,Bhagalpur Ranchi Express,Exp,Express,SER,BGP,BHAGALPUR,RNC,RANCHI,507,12,40,05:35:00,16:55:00,18603,1,1,0,0,0,0
18605,Ranchi-Jaynagar Express,Exp,Express,SER,RNC,RANCHI,JYG,JAYNAGAR,612,14,55,11:35:00,20:40:00,18606,1,1,1,0,0,0
12610,BANGALORE - CHENNAI CENT SF Intercity Exp,SF,Superfast,SWR,SBC,BANGALORE CITY JN,MAS,CHENNAI CENTRAL,362,6,30,14:30:00,08:00:00,12609,0,0,0,0,0,1
13303,Dhanbad Ranchi InterCity Express,Exp,Express,ECR,DHN,DHANBAD JN,RNC,RANCHI,162,4,25,10:05:00,05:40:00,13304,0,0,0,0,0,0
16526,BANGALORE - KANNIYAKUMARI Island Exp,Exp,Express,SWR,SBC,BANGALORE CITY JN,CAPE,KANYAKUMARI,944,21,20,19:00:00,21:40:00,16525,1,1,1,0,0,0
18210,Raipur Dalli Rajhara Express,Exp,Express,SECR,R,RAIPUR JN,DRZ,Dalli Rajhara,126,3,35,22:15:00,18:40:00,18209,0,0,0,0,0,0
18309,Nagavali Express,Exp,Express,ECoR,SBP,SAMBALPUR,NED,HUZUR SAHIB NANDED,1479,29,35,14:35:00,09:00:00,18310,1,1,1,0,0,0
18402,Okha Puri Weekly Express,Exp,Express,ECoR,OKHA,OKHA,PURI,PURI,2779,51,0,10:45:00,07:45:00,18401,1,1,1,0,0,0
18405,PURI - AHMEDABAD Exp,Exp,Express,ECoR,PURI,PURI,ADI,AHMEDABAD JN,1992,37,15,07:25:00,18:10:00,18406,1,1,1,0,0,0
18406,AHMEDABAD - PURI Exp,Exp,Express,ECoR,ADI,AHMEDABAD JN,PURI,PURI,1992,39,35,09:35:00,18:00:00,18405,1,1,1,0,0,0
18413,Paradip Puri InterCity Express,Exp,Express,ECoR,PRDP,Paradip,PURI,PURI,174,4,45,22:45:00,18:00:00,18414,0,0,0,0,0,1
18414,Puri Paradip InterCity Express,Exp,Express,ECoR,PURI,PURI,PRDP,Paradip,174,4,10,10:10:00,06:00:00,18413,0,0,0,0,0,1
18415,Banspani-Puri InterCity,Exp,Express,ECoR,BSPX,Banspani,PURI,PURI,334,7,27,21:45:00,14:18:00,18416,0,0,0,0,0,1
18416,Puri-Banspani InterCity,Exp,Express,ECoR,PURI,PURI,BSPX,Banspani,334,8,0,14:00:00,06:00:00,18415,0,0,0,0,0,1
18419,Puri-Darbhanga Weekly Express,Exp,Express,ECoR,PURI,PURI,DBG,DARBHANGA JN,942,21,5,11:10:00,14:05:00,18420,1,1,1,0,0,0
