station,interactions,mean_risk,high_risk_interactions,mean_source_delay,mean_gap,warning_rate,bottleneck_score
DBD,42,0.4982916663616961,32,34.76190476190476,14.738095238095237,0.7619047619047619,0.5166008241257718
CGY,33,0.4891441395971652,27,23.666666666666668,17.96969696969697,0.8181818181818182,0.5164993967594667
AFK,40,0.49973685861745976,33,16.575,15.9,0.825,0.5159086977651056
CDG,69,0.5008916027057531,57,15.521739130434783,16.565217391304348,0.8260869565217391,0.5156340126163723
JTJ,229,0.5025861148697195,185,19.59825327510917,14.152838427947598,0.8078602620087336,0.5155731195666847
GDR,178,0.5063219817448242,135,30.59550561797753,14.0561797752809,0.7584269662921348,0.5149122414065599
CLX,109,0.4973962843198715,82,36.091743119266056,13.990825688073395,0.7522935779816514,0.5147572928690465
WL,134,0.4966090026937468,87,62.97761194029851,15.097014925373134,0.6492537313432836,0.5135253768352035
BLS,109,0.4983727137580227,80,39.41284403669725,16.03669724770642,0.7339449541284404,0.5134557984158625
JJKR,67,0.4978821227159233,48,43.56716417910448,12.537313432835822,0.7164179104477612,0.5125992803302144
AWB,35,0.49727968983559895,26,36.714285714285715,14.885714285714286,0.7428571428571429,0.5125644214598256
ALLP,34,0.49993975613107866,28,13.852941176470589,18.823529411764707,0.8235294117647058,0.512524161523889
KKLR,44,0.4977345480246617,33,34.38636363636363,16.40909090909091,0.75,0.5123307680127376
LNL,90,0.49984111969327605,69,28.1,15.088888888888889,0.7666666666666667,0.5113523271844457
KTYM,54,0.48774750435356123,45,15.055555555555555,15.018518518518519,0.8333333333333334,0.5107144183463058
ET,549,0.5032153281199501,368,51.6448087431694,12.92167577413479,0.6703096539162113,0.5104688026768623
NLR,197,0.4981744943249531,146,34.766497461928935,13.609137055837563,0.7411167512690355,0.5103109721650316
J,42,0.5000215178508493,34,15.428571428571429,15.023809523809524,0.8095238095238095,0.510125811657927
TEL,133,0.5006320678035614,91,47.857142857142854,14.330827067669173,0.6842105263157895,0.5091106715024939
GDV,50,0.5001840143271561,38,27.72,15.82,0.76,0.509098718572974
BMT,36,0.48447541918127285,32,0.0,16.166666666666668,0.8888888888888888,0.5089043762573031
