service_date,station,source_train,target_train,source_arr_delay,target_arr_delay,gap_minutes,source_delay_class,risk_score,risk_band
2024-09-23,YNRK,19032,14230,0.0,0.0,25.0,LOW,0.4755057872760171,MODERATE
2024-09-04,MTJ,20945,12415,0.0,8.0,20.0,LOW,0.5076789214364393,ELEVATED
2024-09-15,FA,19223,19031,33.0,18.0,11.0,HIGH,0.49486885525292545,MODERATE
2024-09-25,TDL,15708,12179,13.0,24.0,16.0,MODERATE,0.5035821192261577,ELEVATED
2024-09-01,DHN,13303,12340,0.0,0.0,9.0,LOW,0.4804310115833917,MODERATE
2024-09-16,VAPI,12925,22915,22.0,5.0,16.0,HIGH,0.4750054658193929,MODERATE
2024-09-05,MVLK,16343,16349,18.0,18.0,22.0,HIGH,0.4925664575543717,MODERATE
2024-09-22,CAR,12802,18101,7.0,69.0,2.0,MODERATE,0.5030340147629754,ELEVATED
2024-09-26,GWL,12049,14624,8.0,31.0,25.0,MODERATE,0.5040104294807637,ELEVATED
2024-09-03,CNB,11110,11123,39.0,2.0,3.0,HIGH,0.5131228251508466,ELEVATED
2024-09-30,KGP,12884,22862,21.0,222.0,17.0,HIGH,0.5160848803587348,ELEVATED
2024-09-10,JSG,12860,13351,0.0,40.0,12.0,LOW,0.5306442205971832,ELEVATED
2024-09-10,PAZ,16160,16605,17.0,10.0,29.0,HIGH,0.5046171125021766,ELEVATED
2024-09-08,MRGA,20701,12747,8.0,23.0,6.0,MODERATE,0.5033421319312283,ELEVATED
2024-09-25,SC,22737,12745,9.0,0.0,1.0,MODERATE,0.4811669835898468,MODERATE
2024-09-26,TNA,22223,17412,0.0,38.0,1.0,LOW,0.5059412902646068,ELEVATED
2024-09-24,MKP,12167,1027,0.0,168.0,16.0,LOW,0.5318508621410918,ELEVATED
2024-09-18,CLG,15658,13403,21.0,0.0,28.0,HIGH,0.46956206311799736,LOW
2024-09-25,NLDA,17016,12604,41.0,25.0,15.0,HIGH,0.504833143849737,ELEVATED
2024-09-25,BSL,1025,13202,63.0,37.0,29.0,SEVERE,0.5110539246873039,ELEVATED
2024-09-08,DHN,13332,13151,0.0,0.0,10.0,LOW,0.4804310115833917,MODERATE
2024-09-01,AK,12833,12811,5.0,332.0,22.0,LOW,0.5056645900853531,ELEVATED
